,contrast_cluster_1,dissimilarity_cluster_1,homogeneity_cluster_1,energy_cluster_1,contrast_cluster_2,dissimilarity_cluster_2,homogeneity_cluster_2,energy_cluster_2,contrast_cluster_3,dissimilarity_cluster_3,homogeneity_cluster_3,energy_cluster_3,contrast_cluster_4,dissimilarity_cluster_4,homogeneity_cluster_4,energy_cluster_4
test_Mix_DPerc0_c_0.dcm,78053207.75,337040.75,3664686.8968102764,49792.87787496908,213753179.0,899534.25,3659636.929233884,37305.67242651255,301252451.25,1239525.25,3656372.640302559,60874.13973826997,219092506.75,934585.25,3637426.7574007544,91539.04408264534
test_Mix_DPerc0_c_1.dcm,112397718.0,483231.25,3662776.650959582,58883.86851273742,228452207.25,955230.0,3658457.557996514,37682.485070764335,422679897.75,1717695.0,3655296.5499277934,41519.41758734934,334011721.25,1389453.25,3637492.3240493955,94920.56017673043
test_Mix_DPerc0_c_10.dcm,17468615.25,90670.75,3665781.117732392,49048.93206604985,75249881.5,337097.25,3662244.233805863,53688.12900247812,218880660.0,914860.75,3656727.8833529823,31368.812801172695,199597842.75,864599.25,3635457.378337096,92797.24276239223
test_Mix_DPerc0_c_11.dcm,8080798.25,49274.25,3666552.0619878634,46708.53155075256,51406426.25,240891.5,3662899.0626264066,41445.544030552,173294328.0,735558.0,3656810.989203543,40871.49786251645,171844290.5,756757.25,3634511.683851681,101160.5761502666
test_Mix_DPerc0_c_12.dcm,13943443.0,77445.0,3665783.5968048098,47152.38266684003,73451431.5,331874.0,3661879.744782122,41461.88676363225,223959558.0,936619.5,3656330.531212059,57281.91017170607,200957158.75,869104.5,3635644.8910449855,98646.04727487582
test_Mix_DPerc0_c_13.dcm,9372766.75,58808.75,3666261.4722946566,48486.23730165398,53241471.75,250239.75,3662510.927582697,45785.06038042123,193358585.5,817385.75,3656472.137395785,56854.664042847005,183692517.0,803912.75,3634840.5120930388,84593.04182429577
test_Mix_DPerc0_c_14.dcm,8035222.5,51331.0,3666447.411730878,44506.02830318106,49401532.25,234267.0,3662744.2177235465,39692.69255639593,195487920.5,828888.0,3656569.108785698,54654.454246987196,186716501.0,817691.0,3634566.9006983303,91807.5797937182
test_Mix_DPerc0_c_2.dcm,165114758.25,702160.25,3661038.9726605103,50371.3119960614,240212849.25,999189.0,3658817.6515921336,43877.39934425322,416237307.25,1692066.5,3655974.2986213127,36512.48707466692,324862015.75,1352191.25,3638027.0092354347,94954.96172371929
test_Mix_DPerc0_c_3.dcm,168337369.0,714976.5,3660887.586338496,43381.12351086951,248370630.75,1030007.25,3658351.912532094,30134.381009632074,482829780.5,1954609.25,3655564.989981097,46948.26965586696,382123879.75,1579533.5,3637384.47359115,77497.69540944562
test_Mix_DPerc0_c_4.dcm,161596810.5,687165.25,3661458.2043136004,56231.19409414695,243940490.0,1014462.75,3658527.517221366,47770.490561788414,387250969.25,1574806.5,3656391.7283300883,51756.07781346088,292759123.5,1224250.0,3637945.9633297883,73378.52990496719
test_Mix_DPerc0_c_5.dcm,159990468.0,681164.75,3661636.9212601366,49474.57369332671,236722194.75,986730.5,3659212.178530217,39816.49018149804,352254253.25,1438379.5,3657186.782964386,54127.92274877782,263043603.0,1109699.25,3637591.8314258587,86822.01990792775
test_Mix_DPerc0_c_6.dcm,128926436.0,551006.5,3662803.2747674943,53445.46011687686,230697314.25,962567.5,3659318.7394848163,42593.92703916237,345556944.75,1411829.0,3657185.7437575087,57941.72783439622,255907702.75,1080401.25,3637437.5917578107,76573.36827330026
test_Mix_DPerc0_c_7.dcm,120746498.25,516285.75,3663150.307362103,49477.1615357922,228332897.25,954673.0,3658883.498621507,55565.736727776966,344596667.0,1407942.25,3656748.4307564027,46589.3105674683,257162908.75,1081799.75,3638260.5665662466,103365.56216712377
test_Mix_DPerc0_c_8.dcm,52793144.25,230282.75,3665583.7839111784,41387.69875524139,178512483.25,753663.5,3660977.7452804456,35310.20774355551,302838014.75,1247430.25,3656084.0461495635,41442.56495420758,236152085.5,1003340.0,3637082.599366748,103976.27634326626
test_Mix_DPerc0_c_9.dcm,126650553.5,542215.75,3662601.7715943567,38903.12872417528,240008131.5,1000417.75,3657873.751597714,51138.01892923593,511940338.25,2073071.5,3654581.860194735,57667.53651652606,411252205.25,1690838.5,3638387.6804511044,79916.96148258256
test_Mix_DPerc10_c_0.dcm,55635160.0,246471.5,3664157.4212207287,37491.31478898692,208081007.0,871833.25,3657568.085448008,43215.19599849393,951594012.5,3843357.0,3638771.5712233437,89698.3546667514,779195573.5,3134504.5,3646031.499351874,89533.0767301496
test_Mix_DPerc10_c_1.dcm,47392561.25,212172.25,3664393.368962999,37122.488150257326,200970821.25,843440.75,3657629.675535896,53439.77794012699,1047462524.75,4228270.75,3637193.25863035,65462.45151650804,890854751.0,3582055.25,3643985.1155383866,108750.37908803299
test_Mix_DPerc10_c_10.dcm,149199728.25,633978.5,3661057.082263951,42099.36024498512,229943323.25,952630.5,3658344.7022564486,38244.382244852866,1028730419.25,4139190.5,3640353.6765937023,68890.03902327456,863649388.75,3452371.0,3648112.455083278,78879.07940722842
test_Mix_DPerc10_c_11.dcm,91766655.0,393822.25,3663934.7723887945,48513.37484286322,211133183.5,882433.25,3657479.9607410505,43627.27104717154,1039661099.25,4186279.75,3641233.7433292815,90442.32951936366,879531275.0,3527567.5,3644676.1855255244,96689.2622266202
test_Mix_DPerc10_c_12.dcm,123187491.0,526814.25,3662339.8353759022,33310.589375583244,222528610.75,926532.0,3657952.8885834506,60398.04542524154,1046213164.0,4212515.5,3640881.682379882,80866.26000058236,882554828.75,3549755.75,3642357.037738828,86801.39421681066
test_Mix_DPerc10_c_13.dcm,12024229.5,78030.0,3665781.875274889,38346.83083085221,49967040.75,238468.25,3662222.571952552,40437.409530018194,166182327.75,704214.0,3657732.957667489,42936.24048017459,162552986.25,705730.0,3641734.119043929,111894.26544322267
test_Mix_DPerc10_c_14.dcm,14725229.0,90949.0,3665457.0674776025,48264.05042201378,50979537.75,240817.25,3661884.0661564292,50714.13829241316,184746536.25,776396.25,3657288.5955029903,28786.343712304737,169628456.0,731352.5,3642420.7830545017,101167.43694219139
test_Mix_DPerc10_c_2.dcm,109901260.0,470367.5,3663187.0497224145,53145.62564996939,217306035.25,906300.0,3657748.9497821825,43402.77244761158,847386477.25,3423562.25,3640348.7062168424,63743.419866977914,681018486.0,2721482.25,3652658.9465736984,85573.64885473442
test_Mix_DPerc10_c_3.dcm,138276501.0,588710.75,3662005.9619617416,28960.985684893258,230155409.75,956916.0,3658477.7533508744,39581.68974277896,1096317228.25,4418884.25,3639789.5841192454,55585.58178091977,949663961.5,3818397.0,3642493.25559526,83856.95316664522
test_Mix_DPerc10_c_4.dcm,142471938.0,606023.0,3661647.770299154,43608.29397830807,225626556.25,937796.5,3658344.039297332,39064.33866257053,952257357.5,3841398.5,3639909.383263589,69677.0481076735,785987405.0,3159029.0,3646464.063186488,75079.94784866062
test_Mix_DPerc10_c_5.dcm,137786726.5,586204.0,3661851.9843105497,46495.973491319266,216744260.75,901728.0,3658470.0993734775,46501.474650608725,994823026.75,4010624.75,3639728.2941518384,65354.61470398474,838867593.0,3374779.25,3644142.339556354,69591.64625896834
test_Mix_DPerc10_c_6.dcm,146370558.75,621641.75,3661512.131595038,37005.18198066643,222442199.5,922256.0,3659027.750543575,44715.29065302257,1024373714.75,4125551.75,3640649.5765815573,82775.38084983466,863043687.25,3472434.5,3643105.283155868,69930.16441590739
test_Mix_DPerc10_c_7.dcm,130397441.0,554871.0,3662498.3748746295,56191.38916703468,219850322.0,914348.0,3658324.4376692595,56249.66723495986,942170008.5,3795971.5,3637797.4906885196,87689.33657771559,775855867.0,3101664.5,3649974.2454651054,95140.74150881343
test_Mix_DPerc10_c_8.dcm,158962466.5,673719.0,3660851.540102461,46174.08044642197,229220176.5,949577.5,3658199.014441522,55070.64311543464,1015639581.25,4087281.25,3642048.0491234106,71568.0909822848,855416298.25,3421160.0,3648059.715825661,86372.6723157341
test_Mix_DPerc10_c_9.dcm,142544224.5,605680.5,3661784.0540296403,51907.282737868736,227704577.25,945099.75,3657920.901837296,57128.67535750715,871801766.0,3514328.75,3637845.634570181,86796.79309609049,697659843.0,2790376.25,3651055.363246629,78693.7434832002
test_Mix_DPerc20_c_0.dcm,55169590.0,238278.5,3665046.380702872,48795.38007089257,191107624.75,792504.0,3660212.324063096,30118.83220718443,756893073.5,3056822.75,3641628.0817332305,75456.82469413018,591259686.75,2369887.0,3651055.548952477,91541.36615097357
test_Mix_DPerc20_c_1.dcm,81947384.75,350073.75,3664138.6279833964,49476.551343146784,223989249.25,923918.25,3659746.237600049,55245.36510410694,732696633.0,2956569.5,3642046.437135823,79328.81590496126,553880216.0,2221998.25,3651119.639529502,82773.39789826503
test_Mix_DPerc20_c_10.dcm,20916119.75,102004.5,3665852.4791528583,50691.75379036942,50263800.5,224003.5,3663844.4131533895,38024.051334786185,247383978.0,1018747.0,3658655.0884003798,60090.946539368975,224585957.75,946384.75,3643579.459416736,98051.4278512571
test_Mix_DPerc20_c_11.dcm,20822088.25,101213.75,3665907.9740262926,30260.41249184574,49880801.75,222112.25,3663872.6288631,50081.07441657566,252640821.25,1040260.25,3658461.569961824,30933.389159495386,229069563.25,963615.75,3643830.3605478415,102950.78845939206
test_Mix_DPerc20_c_12.dcm,28539007.75,135751.25,3665222.8836366083,50106.3509141318,62458839.25,272254.5,3663501.1938571045,45945.02148340715,308367289.0,1262814.5,3656823.021193357,33321.306332663546,272403805.5,1134623.25,3644027.358986958,115834.9580459492
test_Mix_DPerc20_c_13.dcm,26054450.5,124363.25,3665532.5136103397,46155.163662200175,55812080.75,245404.5,3663538.0541732064,34191.3852402257,344593114.5,1409130.75,3655872.58063626,57506.91063431313,313107609.0,1296583.75,3644050.594534423,117472.49682306054
test_Mix_DPerc20_c_14.dcm,23764129.75,113835.75,3665730.892486985,27263.860712634327,55115281.0,243011.0,3663465.391406759,40636.94112592096,395632161.5,1615400.5,3653973.7760457126,57476.57267377738,360985827.5,1482517.25,3645035.78123633,114029.4303176149
test_Mix_DPerc20_c_2.dcm,100290008.5,429219.5,3662521.255380652,37636.891021333904,242619278.5,997453.0,3659552.7046370977,37517.22192352377,842512182.5,3394444.0,3642338.253447879,72056.71557778103,659947134.25,2644586.5,3649441.478757593,91827.74131684918
test_Mix_DPerc20_c_3.dcm,55418251.75,240940.5,3665167.187221593,52121.90207903573,139442451.75,584554.75,3660939.8751824945,41342.83321239794,863061883.5,3480343.0,3643674.748047504,97355.50164782115,726674223.75,2927117.25,3644305.585281426,75286.59295933176
test_Mix_DPerc20_c_4.dcm,94581243.5,405828.0,3663264.9975757487,26735.33159414315,211715691.75,874104.25,3660291.484457729,42909.77863830045,875759167.5,3526193.75,3645302.600938881,77738.68249842964,711418598.25,2851741.75,3648102.8044966944,72236.95166485902
test_Mix_DPerc20_c_5.dcm,44860428.5,201577.75,3663962.6839182037,40876.088848685824,178473101.75,740401.25,3660446.1277821027,52483.235863672984,810036554.0,3264618.25,3640727.3315555276,78274.52873900384,644895200.25,2584315.25,3649827.162462666,86397.75021791745
test_Mix_DPerc20_c_6.dcm,36724417.25,166478.25,3665034.645787742,47772.761149473205,130094668.5,546104.25,3661848.7398621803,50288.199907210525,865639480.5,3493811.75,3642837.9491428006,84206.61264726623,734245717.5,2960871.25,3643534.250281149,98957.95462278895
test_Mix_DPerc20_c_7.dcm,39736659.0,179124.0,3664769.4733385667,44664.112132118025,156823820.25,654467.0,3660983.6203582375,50497.27905737213,806376332.25,3254711.0,3639313.518611176,84416.91353489085,650007217.25,2603163.25,3650513.53875363,99997.37037518661
test_Mix_DPerc20_c_8.dcm,47883828.25,213370.25,3664026.382639484,46202.576732145186,190620978.5,789796.25,3660169.7163465777,49303.76044055877,844187412.5,3399758.5,3640768.352716386,86649.24519653188,678042943.0,2715390.0,3649802.4208169607,110261.2862773752
test_Mix_DPerc20_c_9.dcm,39156567.5,175982.5,3664786.0305182575,47662.63049930515,153432120.0,640443.25,3661043.4090684326,51590.47125080812,855462672.5,3449225.5,3644240.1586465184,66655.12633028073,719061014.0,2892364.0,3645721.282887553,97265.30789933648
test_Mix_DPerc35_c_0.dcm,92006978.25,397192.25,3662743.491002137,49274.77386297766,217096556.75,897106.0,3659110.6731501343,47958.499636502485,651117631.25,2623698.5,3647056.8039642517,93446.32414332932,479057549.0,1922926.75,3652757.1831591986,82149.85802836751
test_Mix_DPerc35_c_1.dcm,95900494.0,413479.0,3662290.102996911,30628.29764157306,223834941.5,923013.5,3659361.387270718,52318.94976022018,642825304.25,2590206.0,3647408.2643702915,85694.46666835867,466832407.75,1874046.25,3652995.205056932,94976.35163512963
test_Mix_DPerc35_c_10.dcm,58500469.0,254886.5,3664176.4546087626,54927.294688107206,203326643.5,843222.5,3659509.907567337,57130.554825916144,628444160.25,2537030.5,3646671.78633602,85743.93754797381,469108363.75,1883598.0,3652817.180681766,93702.42117184924
test_Mix_DPerc35_c_11.dcm,88808778.0,381843.0,3662936.5946949143,48576.96267066605,225173997.0,929757.25,3658754.812673644,54686.51638255775,660849978.5,2662209.25,3647034.606415242,97031.21755895464,478001399.75,1917777.25,3653107.120322246,85346.23020931246
test_Mix_DPerc35_c_12.dcm,53395119.0,233249.75,3664578.777752675,52296.067761192135,198515887.5,825520.5,3659062.918990915,39373.26682936466,660900963.75,2666176.25,3645857.5443169726,85743.33563444015,500578118.75,2008033.75,3652788.7511096615,109490.73336841003
test_Mix_DPerc35_c_13.dcm,13878600.75,87430.75,3665336.4609494,53229.41176262543,38960068.75,186605.0,3662401.9082080997,49255.094492798555,204862572.75,851159.5,3658113.389392065,49054.752598883206,178594473.75,754908.75,3647640.2849115944,121667.4393716137
test_Mix_DPerc35_c_14.dcm,9210023.0,66623.0,3666271.120149448,36274.61046504153,35115802.0,176183.75,3662763.6503870394,34879.84703509783,118616811.75,507032.5,3660221.124898462,54676.394754085486,136867711.25,594660.25,3645868.974735759,126291.61669101403
test_Mix_DPerc35_c_2.dcm,62338845.0,269902.25,3664443.19330977,34712.80217545414,192144843.75,797721.5,3659706.8920079563,44981.30408612961,606160505.75,2446430.0,3647031.3802453936,86273.93105776749,452434191.0,1817091.0,3653114.7014781674,86480.00677065438
test_Mix_DPerc35_c_3.dcm,46303543.25,203404.75,3664580.4056196525,51046.15315877042,192633089.25,799664.75,3659680.6671236306,46060.199569613804,606694311.25,2449176.5,3646849.342954304,89326.11378879202,449206454.5,1804476.25,3653026.7631566,93488.28982702739
test_Mix_DPerc35_c_4.dcm,43812167.0,192642.75,3664855.704347103,47400.03203780058,179638534.75,747110.0,3660044.7137356433,54335.23193925759,595809273.25,2406203.75,3647008.3278111555,87515.86122723576,436346302.5,1753670.0,3653008.0724128005,95069.111408923
test_Mix_DPerc35_c_5.dcm,48314393.75,212987.75,3664103.609827978,38006.25788947184,200290480.75,829627.75,3659214.4937011497,36964.564205472816,603168516.25,2431924.25,3647917.0542415967,89452.66958300618,437916036.5,1760050.75,3652909.297803068,92998.73603189099
test_Mix_DPerc35_c_6.dcm,46263750.75,204119.0,3664475.3241504524,37421.83777713677,197589170.75,819776.25,3659663.881007084,39904.54718517441,607173610.75,2450200.75,3647249.2680536807,89157.44993801476,443849725.25,1783505.25,3652912.236800042,84117.05357264617
test_Mix_DPerc35_c_7.dcm,47361883.5,210227.75,3663797.6721620085,45032.22666211777,206661426.0,854896.25,3658942.095172674,43871.778159765694,627424881.75,2529067.0,3647462.0729487287,92228.52437992184,455062375.5,1828349.75,3652664.8021336705,79720.45822366475
test_Mix_DPerc35_c_8.dcm,40027009.0,178949.25,3664561.661789559,50012.95000625888,188677920.25,784023.25,3659651.366119792,47059.658783582156,624295170.0,2519937.25,3646532.0350395422,84375.67894341715,463146294.75,1860251.75,3652700.7416761327,92875.55557769984
test_Mix_DPerc35_c_9.dcm,41081578.5,185101.5,3663994.6182993995,46854.20309179614,204721077.5,848147.25,3658991.9449770413,49191.724781001445,644847540.0,2599104.5,3646977.202393462,85081.58433960292,474278735.0,1904327.75,3652665.431982275,84947.57043842702
test_Mix_DPerc5_c_0.dcm,126358406.75,540282.25,3662322.2550821626,37457.660886990474,218168854.25,907250.5,3659430.3002246283,35392.08990507285,403395532.0,1640006.5,3655314.107191759,48902.052937070584,319531011.5,1322575.0,3642020.50774202,92011.21074793342
