,contrast,dissimilarity,homogeneity,energy
test_Mix_DPerc0_c_0.dcm,123045841.5,590794.25,3625314.819206356,90041.85755726654
test_Mix_DPerc0_c_1.dcm,123014511.0,590203.75,3625564.6589991283,92408.33325103058
test_Mix_DPerc0_c_10.dcm,119263483.75,588022.75,3623226.8952457476,102528.36167339391
test_Mix_DPerc0_c_11.dcm,117978884.25,587912.5,3622332.101142628,106806.65146332535
test_Mix_DPerc0_c_12.dcm,118117714.75,587659.25,3622446.9743746985,86263.67919277365
test_Mix_DPerc0_c_13.dcm,116551917.25,586402.5,3621962.694477008,81824.47739071958
test_Mix_DPerc0_c_14.dcm,116298834.75,586366.0,3621591.4144197195,87611.88859041342
test_Mix_DPerc0_c_2.dcm,123150662.5,589284.0,3626081.222822722,94077.38340611462
test_Mix_DPerc0_c_3.dcm,123389991.25,590040.0,3625978.2151327217,78985.67820147483
test_Mix_DPerc0_c_4.dcm,123334322.0,589834.5,3626037.6004027715,81328.13161055648
test_Mix_DPerc0_c_5.dcm,122936339.25,588307.5,3626281.6753759,84225.19587319922
test_Mix_DPerc0_c_6.dcm,123147390.75,589354.0,3625976.171502287,80262.94387022713
test_Mix_DPerc0_c_7.dcm,123307668.5,589964.5,3625884.5169118084,101171.94980365825
test_Mix_DPerc0_c_8.dcm,123198051.0,589687.75,3625912.1803851486,101321.80804061978
test_Mix_DPerc0_c_9.dcm,123098922.25,589693.5,3625799.869505038,79033.99085562724
test_Mix_DPerc10_c_0.dcm,121854115.75,573041.75,3632789.7207685392,102172.09154128816
test_Mix_DPerc10_c_1.dcm,121772928.5,572731.5,3632913.7555289627,95837.86104724495
test_Mix_DPerc10_c_10.dcm,123384444.0,574024.75,3633853.347380299,100185.56812291275
test_Mix_DPerc10_c_11.dcm,123390576.5,574414.5,3633660.125648843,114052.48730793502
test_Mix_DPerc10_c_12.dcm,123063855.25,574449.75,3633319.997279329,113229.77854646207
test_Mix_DPerc10_c_13.dcm,114183497.5,569913.75,3628614.9662632262,113432.33230534059
test_Mix_DPerc10_c_14.dcm,114257886.75,569793.75,3628646.3630295713,102665.43429984627
test_Mix_DPerc10_c_2.dcm,123222888.75,573948.75,3633843.0258790078,96819.88683058065
test_Mix_DPerc10_c_3.dcm,123227753.75,573726.0,3633848.4423856335,91439.52877002905
test_Mix_DPerc10_c_4.dcm,123249873.5,573949.75,3633759.649672117,93878.84578893174
test_Mix_DPerc10_c_5.dcm,123395905.75,574252.0,3633799.334946211,88230.00670164285
test_Mix_DPerc10_c_6.dcm,123469103.75,573774.25,3634064.969512132,110744.7860144622
test_Mix_DPerc10_c_7.dcm,123626400.25,574144.75,3634103.297383943,111102.3583662119
test_Mix_DPerc10_c_8.dcm,123614439.25,574035.75,3634142.5025340216,110056.82604273716
test_Mix_DPerc10_c_9.dcm,123598660.75,574045.25,3634113.6084209867,104505.99439956811
test_Mix_DPerc20_c_0.dcm,125482218.75,572162.5,3637066.638066603,101336.6299296383
test_Mix_DPerc20_c_1.dcm,125682129.75,573112.75,3636797.847280936,92211.36044712053
test_Mix_DPerc20_c_10.dcm,122668510.5,569865.25,3635311.0419579595,106705.02219219867
test_Mix_DPerc20_c_11.dcm,122650898.5,569394.5,3635476.7918265723,108405.77384282235
test_Mix_DPerc20_c_12.dcm,122576437.75,569778.0,3635219.694182357,122182.19603426335
test_Mix_DPerc20_c_13.dcm,122581438.25,569804.25,3635221.4924774175,122329.93621821012
test_Mix_DPerc20_c_14.dcm,122596051.0,570076.25,3635130.9328275807,121759.43341705072
test_Mix_DPerc20_c_2.dcm,124845328.25,572421.75,3636246.9171521766,103457.67700130412
test_Mix_DPerc20_c_3.dcm,124770849.0,572393.0,3636191.933116383,102387.69333931622
test_Mix_DPerc20_c_4.dcm,124732593.5,571988.0,3636351.6128093377,96976.35301440227
test_Mix_DPerc20_c_5.dcm,124334049.5,571810.75,3636099.1782290423,110080.60093623023
test_Mix_DPerc20_c_6.dcm,124272387.5,571245.0,3636285.3939592643,115788.23684785533
test_Mix_DPerc20_c_7.dcm,124215351.25,570401.5,3636582.192221244,121808.70566322638
test_Mix_DPerc20_c_8.dcm,124303381.5,570592.0,3636582.65630632,123253.40521726978
test_Mix_DPerc20_c_9.dcm,124361116.75,570281.0,3636789.345000871,124032.61450243396
test_Mix_DPerc35_c_0.dcm,123958354.5,563663.25,3639586.0870176563,120274.49610213812
test_Mix_DPerc35_c_1.dcm,123960130.75,563274.0,3639780.53334608,126942.87644403422
test_Mix_DPerc35_c_10.dcm,124266299.0,564637.5,3639496.658757306,113226.36653433274
test_Mix_DPerc35_c_11.dcm,124199284.75,564099.75,3639696.1024532705,116234.24634514918
test_Mix_DPerc35_c_12.dcm,124113683.75,563604.0,3639856.880456551,124463.47147789679
test_Mix_DPerc35_c_13.dcm,115502445.0,558856.0,3635362.565196445,128104.76595614688
test_Mix_DPerc35_c_14.dcm,114350757.5,557902.75,3634927.7002863465,127248.61014000724
test_Mix_DPerc35_c_2.dcm,124633900.75,564269.75,3640119.2963076215,124471.38995344295
test_Mix_DPerc35_c_3.dcm,124530939.75,564780.5,3639755.838477052,124373.41913657033
test_Mix_DPerc35_c_4.dcm,124502298.75,564574.5,3639754.775392726,129170.821079174
test_Mix_DPerc35_c_5.dcm,124292631.0,564609.75,3639534.3170286845,128961.33235850681
test_Mix_DPerc35_c_6.dcm,124337369.0,564254.75,3639755.394344691,132297.34584422404
test_Mix_DPerc35_c_7.dcm,124040634.25,564639.0,3639268.9920685245,118732.47206724907
test_Mix_DPerc35_c_8.dcm,124016332.5,564172.5,3639425.333703557,119619.66280307161
test_Mix_DPerc35_c_9.dcm,123612073.75,564046.0,3639086.389838312,114166.87764092367
test_Mix_DPerc5_c_0.dcm,123143412.0,579842.25,3630706.5512227863,105435.23812595906
test_Mix_DPerc5_c_1.dcm,123554658.75,579253.25,3631406.5363678695,107196.45871646132
test_Mix_DPerc5_c_10.dcm,122946773.0,578328.5,3631224.364033648,89926.86637209982
test_Mix_DPerc5_c_11.dcm,122813260.75,578894.5,3630814.9321767115,94985.1662927536
test_Mix_DPerc5_c_12.dcm,122799642.25,579121.75,3630788.711248505,110416.86085799505
test_Mix_DPerc5_c_13.dcm,122452611.25,579570.25,3630217.24312926,107335.2794493371
test_Mix_DPerc5_c_14.dcm,122251033.75,579243.25,3630128.467843827,106382.93067548827
test_Mix_DPerc5_c_2.dcm,123062313.5,580087.5,3630588.4172475194,83815.40567736399
test_Mix_DPerc5_c_3.dcm,123006865.0,579847.5,3630658.542714157,83300.69292985718
test_Mix_DPerc5_c_4.dcm,123291655.75,579088.75,3631303.2270328263,99068.08601076544
test_Mix_DPerc5_c_5.dcm,122890252.75,579112.75,3630846.184940328,107358.83703538746
test_Mix_DPerc5_c_6.dcm,122754683.0,579272.0,3630640.113924524,102111.05166837331
test_Mix_DPerc5_c_7.dcm,122668002.5,579117.0,3630611.704759108,109390.43211484532
test_Mix_DPerc5_c_8.dcm,122528623.5,578838.0,3630514.5515993973,90032.45670383499
test_Mix_DPerc5_c_9.dcm,122408590.75,578628.0,3630505.8489526864,97973.97071626926
test_Mix_DPerc75_c_0.dcm,125392575.25,556236.5,3644788.8472276214,119954.7694919215
test_Mix_DPerc75_c_1.dcm,125446918.75,556988.75,3644514.988756058,121023.6191313564
test_Mix_DPerc75_c_10.dcm,125494979.0,556492.25,3644823.4866508935,114751.59904276849
test_Mix_DPerc75_c_11.dcm,125454796.25,556583.75,3644738.0924851564,127768.45084070161
test_Mix_DPerc75_c_12.dcm,125460742.5,557026.0,3644568.6175066703,122046.09761501671
