,contrast_cluster_1,dissimilarity_cluster_1,homogeneity_cluster_1,energy_cluster_1,contrast_cluster_2,dissimilarity_cluster_2,homogeneity_cluster_2,energy_cluster_2,contrast_cluster_3,dissimilarity_cluster_3,homogeneity_cluster_3,energy_cluster_3,contrast_cluster_4,dissimilarity_cluster_4,homogeneity_cluster_4,energy_cluster_4
p214-010-60001-cl.png,293153514.5,7003850.25,8130257.674941973,51371.507991310194,826016564.75,12106920.25,8178692.7905135015,51247.27800798972,1189668996.25,10889315.75,8309986.114009276,46728.45396331066,776793320.5,5886436.25,8380532.207001733,43973.709887430436
p214-010-60001-cr.png,185629518.75,4623518.75,8241054.817175851,52008.00238310067,641245252.25,9141035.75,8250194.492364958,57204.728898630856,1151640120.75,10339648.5,8311361.858274256,48833.49986532732,775163315.25,5625592.5,8402698.450330032,47068.058470073265
p214-010-60001-ml.png,222507528.75,5867047.5,8121710.629885816,53939.60637740731,893830705.25,12497527.25,8178878.867446593,60888.44891752773,1785640862.5,16247420.5,8210113.855566433,39805.116295133324,1237096906.25,9180578.5,8338267.205283621,40480.385534948524
p214-010-60001-mr.png,228092773.0,5802305.25,8143748.833719268,56363.71237801319,1047521868.25,13875836.25,8165493.907819525,53059.07253552534,1850879006.0,16737395.5,8209670.079957254,47579.096740876674,1073341216.0,7801042.0,8371460.064431722,57173.61206312844
p214-010-60005-cl.png,156387443.0,4584042.25,8163100.805694603,37606.734376088934,672012081.0,9797939.5,8198951.000701916,36979.94957206483,1548207943.0,13951816.5,8220116.309020522,32055.018329912637,1131707611.75,8562726.25,8306607.852877398,55253.097522865806
p214-010-60005-cr.png,217471118.75,5225544.25,8208809.697030949,57194.5984827523,954193951.5,12125326.5,8189065.555479733,51952.34882030691,1835399877.75,15412964.0,8216854.8459152,46210.279955508566,1154195606.25,8025090.75,8324013.433283844,41853.41570775001
p214-010-60005-ml.png,256744852.75,6798050.25,8083702.718025362,55896.85620998006,1083102993.75,15234231.25,8092656.264562308,46564.45464363549,2009147287.75,18503091.0,8169850.928517647,57194.042392337986,1267037119.5,9459039.0,8332144.803162112,35674.16869084783
p214-010-60005-mr.png,218506961.0,6194055.0,8074662.056537608,45317.20047089574,790882285.0,11717229.75,8184281.595358333,51415.332879831265,1530200291.75,14412494.0,8241553.010444654,45167.00277778789,1075521556.5,8334943.0,8344835.739218734,49279.944998402694
p214-010-60008-cl.png,688590974.0,20742184.5,12199259.596377302,99836.24616203713,3128721737.0,51636011.0,12144107.71325406,113535.4687979494,7495951208.5,81769165.5,12088463.165665522,115502.64867668123,6054873174.25,54117511.25,12691538.272840306,80730.64575498349
p214-010-60008-cr.png,697693864.75,19828992.5,12378996.398782607,91213.81640758128,3077183167.0,50570301.0,12239188.598432653,112605.32265201762,6804467037.5,77134454.0,12110670.41597757,114004.12254245966,5266038398.25,48118888.75,12834152.477701232,78406.91141489975
p214-010-60008-ml.png,603136124.5,19599147.25,11880951.691021418,124760.73841766124,2141602651.25,37452308.25,12389107.070958786,96854.31835674257,5088481265.75,57136382.5,12402558.51731529,89728.993485507,4252868816.5,39590214.5,12862125.908144265,80823.92177701545
p214-010-60008-mr.png,497977091.0,15484772.25,12474190.366501793,94349.5365544632,2606986058.75,44717373.25,12227677.792793658,100842.50537473627,6478903062.75,73472436.0,12158005.169361304,109813.81984412114,5145565283.75,47347976.25,12777928.157510187,84245.7118592576
p214-010-60012-cl.png,1065328468.25,26244052.5,12436847.648596287,116118.29340340543,3607054644.0,60374917.25,12050568.75193027,143456.21577955922,4640404880.75,56825459.5,12504359.989196977,98832.41331887577,2267561845.0,21642926.5,13254632.978051748,49110.1323102555
p214-010-60012-cr.png,657532872.75,15767484.75,12882911.561870089,76734.46480288042,2591303516.25,39990763.0,12576441.590430833,77918.0229016626,3830338384.75,42036514.75,12804436.933873173,71495.48529286789,2000569621.5,17065079.75,13328116.2629988,48442.57377827393
p214-010-60012-ml.png,785525509.75,18469611.75,12682156.21826199,78207.17829711974,3938825405.25,57350440.0,12146589.097255446,104293.23393500227,6430772688.0,66819424.75,12419128.420785837,86773.27861601644,3368725760.0,27741591.25,13182104.508575242,62387.743766839645
p214-010-60012-mr.png,571005905.25,13970210.25,12792130.90057871,74629.78319023279,2822008657.0,39514184.0,12632596.66541031,82702.87649022574,4908211111.75,48597965.0,12760101.581025021,67220.14918364507,2783490580.0,22000431.75,13269514.95515864,45843.69878425306
p214-010-60013-cl.png,656757767.5,20180925.75,12187095.070314202,98463.58638971389,3617771921.0,59502225.75,11669471.531116007,110000.39690904578,5819564182.25,61623134.0,12394451.413191037,87437.75893181759,2707386970.0,21835230.5,13153325.401279118,51251.974203972146
p214-010-60013-cr.png,859471616.5,27324527.75,11703297.34440913,137389.56077346025,2824162977.0,51202842.5,11815000.226379637,111857.87567003346,3911108487.5,40568754.5,12801805.14275955,58373.9095648742,2217637759.5,18157367.0,13153303.706497796,48661.91517604154
p214-010-60013-ml.png,709633243.25,20819525.5,12201917.29239688,103207.58727704867,4002728549.25,64190937.0,11762970.381327495,123640.37980008512,7341834722.0,80890208.0,12023481.879122404,113897.23040668853,4137211849.5,35535262.25,12986878.736182569,60014.61743830961
p214-010-60013-mr.png,911720389.5,26129173.75,11787966.504620718,116738.85605274428,3556075329.75,54352530.0,12083433.190839197,108971.08694633632,6199642538.25,61787475.5,12447896.92866108,89170.92226733008,3902954250.25,31076756.75,13044550.683689125,63220.89534894796
p214-010-60020-cl.png,852097029.5,23028386.25,12108763.374531917,127691.70695779442,4986734811.0,82357078.5,11094299.320733933,197646.59828680294,8828777305.0,108791051.25,11215763.792008117,196256.98622026452,4852246749.0,48836537.0,12712021.911207626,100437.03435323859
p214-010-60020-cr.png,796286035.0,21454182.25,12226908.038948908,107474.02585480569,5988632819.5,95892635.5,10951354.70033164,228690.52850661383,10726206097.75,132374111.5,10798264.329559274,234848.10071818496,5491588159.5,54677186.5,12684883.69913306,110245.41307680644
p214-010-60020-ml.png,751580682.25,17510756.25,12377217.709215403,112699.65444747219,4589803274.5,67649007.75,11920325.932609284,190515.141758763,9514812002.25,115360098.75,10991387.135706369,231736.2460946896,6080826012.75,63751043.25,12359131.266149126,151031.91590549162
p214-010-60020-mr.png,747495686.5,17835223.25,12325253.427705076,114013.25630223464,5338894764.75,79340012.5,11425525.09291604,215335.5504191015,8707505184.75,106003420.0,11140876.309585257,215217.43758886802,3943648085.0,40037271.75,12833947.730043685,91979.57140933455
p214-010-60026-cl.png,201874803.25,5212019.25,8187782.570802393,58854.58954234917,550897221.75,9876767.75,8087840.758632608,52902.88525115502,902271325.0,8893739.5,8300511.477260709,57416.310013991504,655937183.5,5630119.5,8330299.7909741625,41259.55318955956
p214-010-60026-cr.png,117886172.25,3490831.0,8195721.647149561,52033.157400317505,380989969.0,6102806.25,8282206.739553028,45072.879718910335,939962324.25,8743758.5,8321728.935629362,32247.289473407098,772353621.0,6496766.5,8322087.394747136,47104.59136858007
p214-010-60026-ml.png,346845040.75,9039614.5,7896514.5322623905,62024.444085853494,1045595849.5,16193056.75,8016827.349914562,58143.91282780903,1572444695.75,15360100.75,8183130.31042909,51100.18092146926,991067885.0,7853272.0,8324111.0294670155,56522.95991986888
p214-010-60026-mr.png,292355221.75,6825442.0,8043197.113721739,52726.60129230005,872375577.25,11639240.25,8182916.995277602,37133.58616007339,1710292898.0,14340418.25,8239195.450033081,50580.79691279083,1283848243.0,9280702.5,8305503.2196806725,42657.5605675302
p214-010-60029-cl.png,191224810.75,5417548.5,8060574.967069131,47374.4205744932,914886927.75,14007030.0,8014929.986079472,55844.264964982256,1925606787.75,18679431.25,8091851.490616335,40864.41060921105,1302178817.75,10276585.75,8278074.8994275015,56917.11723401267
p214-010-60029-cr.png,101434761.0,3277961.25,8165330.131610036,46393.76471073061,407028178.25,6760838.25,8233333.436785145,45442.50009120362,1024214238.25,10055854.75,8257019.132371439,33283.80565508089,802643612.75,6620358.25,8336870.0991238,32538.858019813004
p214-010-60029-ml.png,281759923.0,7674381.5,7886979.331489125,58558.55918270764,1125162894.0,17141368.75,7930621.199545487,54863.103277984206,2021933363.75,19753378.75,8070652.42005506,58854.88188397629,1268445041.0,9918511.75,8287780.053021906,45561.85804384991
p214-010-60029-mr.png,199946676.0,5755443.25,7953136.70226096,68255.27644068864,879717021.5,12880591.5,8052288.281006326,61718.54948948221,1723809506.5,15850862.75,8169973.134046907,46526.69640860405,1117335685.5,8557616.5,8301552.9136931235,35399.41249907724
p214-010-60045-cl.png,1282367607.0,30088488.25,12247404.921747502,121495.96441661331,4389267187.25,70388590.5,11423825.479488954,134732.7702722809,4738108053.25,51379272.75,12607265.868253952,83849.6771161595,1603576756.5,12789610.0,13375471.490225323,25101.93566159367
p214-010-60045-cr.png,1323322828.75,30648713.75,12096058.595828023,122943.21463419919,4378041517.75,67780901.5,11595031.343747228,133838.18658894836,5170256380.75,54996857.0,12533315.060944917,91446.83427247043,2251265795.25,18912861.75,13226254.961155567,51573.252058251
p214-010-60045-ml.png,1287032798.75,27998318.0,12225246.682669649,125630.9043340823,3718589636.0,57987269.25,11983419.118238755,142812.40918572454,3858377034.25,45447793.25,12626252.735653147,86173.32685708649,1531923391.0,14372802.0,13341010.737218663,50323.608106362
p214-010-60045-mr.png,1484928840.75,31789552.5,12015285.579412345,121615.94279278241,4768749887.75,68372733.75,11779599.794978164,131827.90622973896,5479351268.0,57108930.5,12484375.840829993,96175.85540387697,2291661241.5,19135525.0,13234380.00586906,44662.4426956204
p214-010-60046-cl.png,194339869.75,5245084.25,8064378.774276095,48643.959276660564,1008528662.75,13258095.5,8092203.926965747,54645.16919582452,2088542492.25,18738648.5,8085276.562276459,59204.45285175353,1347803838.25,10780505.0,8156508.095104913,49419.46626246795
p214-010-60046-cr.png,163364913.5,4618188.25,8125765.932283865,51015.9323502468,824583969.25,12201076.5,8106569.58271128,57790.90253301713,2171133790.75,21704887.25,8034512.2153302245,47733.06009142705,1677279061.5,14703369.5,8151701.880848203,50490.36415390067
p214-010-60046-ml.png,169075022.5,4726110.0,8037633.922451673,59758.319710103286,644903098.5,9782425.25,8147462.268216842,40890.02445312812,1544667242.25,15811637.25,8118387.4021182535,53680.83480978482,1173167980.75,10439389.5,8252216.123333348,54739.22192448714
p214-010-60046-mr.png,143303128.25,4251527.0,8132072.29348713,49300.01470123658,724165566.25,11359586.25,8100901.630460711,58790.32934912211,1809631006.75,18924071.25,8079108.910550858,47782.45540657523,1362176398.75,12574298.25,8171457.353317317,44738.360142541
p214-010-60054-cl.png,272983546.5,6557569.25,8036526.497113621,47897.46348738387,876559501.25,13683341.0,7997901.798789899,60405.50559438593,1258768505.75,13570523.25,8146551.800825963,34878.97090008699,699244961.25,6119122.5,8355448.830419641,52857.013624719795
p214-010-60054-cr.png,180863790.5,4883617.0,8092627.136351274,50862.06152186784,575759315.25,9508136.25,8142725.456174034,47250.117580127306,1068119363.0,11720811.0,8184254.179357712,48558.68753485901,740571172.5,6755256.5,8335198.50506212,44999.6532322429
p214-010-60054-ml.png,400485665.75,9022280.0,7860128.195277847,65657.34374769831,1072168778.75,15771801.75,7993066.30669833,60680.78735009772,1314640677.0,13526749.0,8185554.188647627,42612.66151798299,702769859.75,5943196.75,8366956.653757538,45537.780023167536
p214-010-60054-mr.png,301519197.25,7166939.0,7958155.196819525,57995.63659483661,814415514.5,12248761.0,8100655.901924155,47100.69443370779,1113785501.25,11508799.25,8209867.872619111,40801.55236041562,657039653.75,5648579.75,8352025.0041873325,54800.84731167635
p214-010-60056-cl.png,389202180.5,10662924.5,7822889.949724773,61459.773503417935,1613376901.75,24728268.25,7764183.759252575,59391.557991028094,2857894991.5,28255066.0,7954015.762935363,53319.1228928725,1763574753.25,13880641.75,8238669.973382015,50479.61765188638
p214-010-60056-cr.png,268339990.5,8333650.5,7946131.716683471,69689.60186699791,1357970992.0,23856561.75,7704805.065995951,67201.36273053163,2465309440.5,28397531.5,7898372.452965271,68552.47348813676,1449849079.5,13041209.5,8248863.434398636,45659.03891108895
p214-010-60056-ml.png,388486437.25,11460706.0,7684522.99314942,67925.83012880388,1509721116.75,23887644.0,7794542.454503292,66466.24633772188,2532141316.75,25582172.0,7992754.434430628,52765.458327484914,1521929373.75,12057528.5,8266947.662993982,40903.756613044374
p214-010-60056-mr.png,448471521.0,13310409.0,7596581.0293048,79030.76950343611,1645627138.0,27505176.75,7665513.122407085,63359.509306379594,2314303594.25,25047622.0,7997574.69067587,56480.621761486866,1174092112.25,9745019.25,8313081.374596532,37675.1881839195
p214-010-60060-cl.png,105338600.5,3206813.75,8265275.614934921,53159.005453189675,525131793.25,7103057.5,8318498.542237342,46741.9281480857,1487951161.25,12917759.75,8286110.38395635,59598.75942181716,1203289375.5,8934664.0,8345535.487675291,53098.92813226428
p214-010-60060-cr.png,85156179.75,2871999.0,8249655.051589051,30876.15258821893,432373584.75,5864022.5,8346985.90551183,43789.295892643524,1435500344.5,11965796.5,8279140.252843892,38123.72544324386,1229707746.5,8596057.25,8343914.511865351,44941.85443201727
p214-010-60060-ml.png,139517385.25,3260677.0,8317739.05478443,52104.35805846153,577473655.75,7455550.75,8307231.114906574,51232.1492610356,1572587034.5,12862298.5,8285375.85580438,53594.11162417253,1275674356.5,9003647.25,8339590.499190465,45978.416091263476
p214-010-60060-mr.png,79266401.75,2156635.75,8377526.949236328,43120.557575656945,497910942.0,7111891.75,8304018.860765366,53853.73197263968,1203813744.25,11237236.25,8305509.172550606,41702.75403038791,862363648.25,6738994.0,8376521.686654391,44822.50410325722
p214-010-60062-cl.png,141505895.0,4460143.25,13082518.627886087,72121.80434945058,832394852.0,12218621.0,13160850.427280342,58392.37441229672,1906985487.25,19805884.75,13080340.803902984,63893.456083459925,1279739464.75,10988170.25,13360922.752702229,42419.78658345613
p214-010-60062-cr.png,166279000.5,4754515.25,13222387.523016378,59672.537444348796,1084098702.5,16486792.25,13040629.019583551,59473.014946994255,2208071467.0,24148287.5,12986285.378689684,58861.91566467657,1327715378.75,11761349.0,13338526.485053364,53668.02207231843
p214-010-60062-ml.png,200505800.75,4698984.5,13229476.42112409,58847.17464224536,817009312.0,11695062.25,13186030.076829605,47346.42612322676,1622666898.5,16399107.0,13201656.69880636,39847.25718584126,1072382547.5,9468784.5,13353902.778153587,35128.99152721609
p214-010-60062-mr.png,216384725.75,5161318.25,13159115.873987816,68935.60348743068,850673402.75,12053635.5,13170027.054687046,55395.75713426192,1890288270.75,18931349.75,13101859.23876531,61251.84413620065,1351375477.0,11870867.25,13286783.845800491,45791.159102738275
p214-010-60066-cl.png,187391048.75,5883837.25,8033704.454325172,54249.29748859981,1152104034.0,17661042.75,7960443.09830271,59022.68086849411,2374820621.75,24741300.75,8003723.0161215495,52085.75028251641,1477138695.25,12466157.75,8262787.320797978,49002.268441843014
p214-010-60066-cr.png,238865607.5,7440662.5,7890463.00824284,69227.32273192379,1297675957.25,19825514.5,7895000.377640187,55618.18845171221,2461174449.75,25560105.0,7958148.614312921,58627.086604820666,1439930641.0,11971886.5,8248780.223195463,54159.1482642207
p214-010-60066-ml.png,371927840.75,8193213.5,7965924.090470058,51773.66732166465,1534609649.25,20250843.75,7954023.139109978,57739.07929661547,2452841937.75,23726951.0,8016976.089351393,63289.51990235826,1333414230.25,10594670.0,8305812.4932248145,49520.93488126162
p214-010-60066-mr.png,346199380.25,9185542.5,7802308.8272250835,66597.8246362922,1505611548.75,21396280.0,7872921.996902569,62099.6833497989,2806679138.75,27110424.0,7938315.736611782,60597.26827416364,1755065142.75,13648416.25,8251386.134137161,49751.99104093855
p214-010-60070-cl.png,243899060.0,6500568.25,8076178.6843065955,44651.08887173842,1024428612.5,14701992.25,8063105.611876281,48579.64491314731,1732059379.5,16307901.75,8184976.355483332,42572.55580104457,987292484.25,7533885.25,8343529.384723319,40832.515541921195
p214-010-60070-cr.png,113628946.5,3604145.75,8166662.459914894,54774.15202194473,555254740.25,8187125.5,8221893.646913259,50199.48227408108,1317560697.0,12123887.0,8242422.410215067,55578.20245601875,946487223.5,7295762.25,8332069.682691763,51015.39227755877
p214-010-60070-ml.png,244601413.75,6431275.0,8070409.670296027,49612.49147347972,1309473519.25,18874213.75,7949271.233299153,57594.254734184935,2463773897.0,24307627.5,7997362.880484042,57824.54596187084,1440655989.5,11343870.25,8275045.464811462,33908.78207520154
p214-010-60070-mr.png,136866943.75,4207605.0,8090077.15565893,51935.009080366406,919138082.5,12675766.0,8113825.06237011,53739.91689101648,2018001241.5,19208742.5,8101292.8929508785,63371.6398669286,1289203245.5,10283476.0,8274670.677819408,57933.453252728956
