,contrast,dissimilarity,homogeneity,energy
p214-010-60001-cl.png,120768596.0,8260433.75,7615467.955414863,52137.29571432977
p214-010-60001-cr.png,96740019.0,6551713.75,7780004.100804026,48991.829472148354
p214-010-60001-ml.png,150263119.0,9750372.0,7490687.595095588,43423.84716301167
p214-010-60001-mr.png,155084857.5,9615812.75,7532493.632325186,37962.06356633731
p214-010-60005-cl.png,109416700.5,8403287.5,7470991.621762166,55686.26553826825
p214-010-60005-cr.png,131087437.75,8887367.25,7509615.311986826,64893.57056073834
p214-010-60005-ml.png,166555414.0,10979481.0,7326654.365420906,52605.607770238945
p214-010-60005-mr.png,140550104.25,9395229.25,7460316.528670485,49636.89783337618
p214-010-60008-cl.png,624551230.0,41188737.0,9341450.815720502,88415.60447623725
p214-010-60008-cr.png,559162558.25,37264968.0,9760579.75135396,83334.55939055001
p214-010-60008-ml.png,389507383.75,31540808.75,9490950.122375224,125050.44799008238
p214-010-60008-mr.png,533695053.25,36066572.25,9725584.353519104,96067.64786706773
p214-010-60012-cl.png,455716458.25,30985210.75,10429862.451718405,80172.37896519323
p214-010-60012-cr.png,344019751.75,22587223.5,11338987.2541412,64915.7999743812
p214-010-60012-ml.png,510064322.25,32646823.25,10427942.61181274,74650.73167180263
p214-010-60012-mr.png,387897980.0,24639681.5,11169171.243838467,66013.56402524383
p214-010-60013-cl.png,591552222.0,40162923.5,9353171.687833067,96644.29229807627
p214-010-60013-cr.png,512766852.75,36875842.75,9331068.526608307,112488.42733431495
p214-010-60013-ml.png,645841369.75,43103232.5,9145133.403861847,91935.97990444697
p214-010-60013-mr.png,564329562.25,39255762.0,9299185.648729073,96444.27212687768
p214-010-60020-cl.png,495334313.25,44379106.25,7813599.549522044,144379.76455812418
p214-010-60020-cr.png,610508336.5,50135939.25,7574600.611994902,148336.64518106624
p214-010-60020-ml.png,320620661.5,34095210.0,8292038.324387824,166030.1246374728
p214-010-60020-mr.png,328433151.25,34645932.75,8256219.377132217,166347.23860761244
p214-010-60026-cl.png,79788497.5,7062562.5,7508583.344192836,59977.99551181786
p214-010-60026-cr.png,62394560.0,5602605.5,7682418.041921178,44601.00683377626
p214-010-60026-ml.png,141142624.75,11327887.75,7111647.410934301,57469.25034858637
p214-010-60026-mr.png,112264235.0,8959924.0,7392756.221696084,56787.19260180363
p214-010-60029-cl.png,130984805.0,10779143.0,7115976.998626131,49771.32967176758
p214-010-60029-cr.png,67027418.25,6158752.0,7568210.278467002,36498.55070313151
p214-010-60029-ml.png,144565966.5,12289091.75,6877624.801996378,50592.590600441596
p214-010-60029-mr.png,105961056.0,9711476.25,7113747.485536482,55151.436581752045
p214-010-60045-cl.png,502097103.75,36052446.75,9701846.069831606,90570.17942630059
p214-010-60045-cr.png,465365111.0,35668739.75,9511257.125744876,96433.46962771605
p214-010-60045-ml.png,276262478.25,24978364.5,10193047.38593424,108499.56848270963
p214-010-60045-mr.png,429690831.0,33962012.25,9567104.432538852,101070.54608202734
p214-010-60046-cl.png,130219489.75,10704734.25,7031348.43659308,58232.45393616907
p214-010-60046-cr.png,115280096.5,9914019.5,7108219.760290952,41024.93943628496
p214-010-60046-ml.png,73302044.25,7625056.25,7199915.059406746,71375.22520149761
p214-010-60046-mr.png,100280821.75,9306552.75,7153280.922435379,52406.211742378204
p214-010-60054-cl.png,70049651.5,7921049.0,7197433.263390941,44950.57871670268
p214-010-60054-cr.png,60247975.25,6646534.25,7382171.741636969,65504.37726396606
p214-010-60054-ml.png,83372745.75,8795403.75,7084963.471623918,59264.4165988886
p214-010-60054-mr.png,77021126.75,7731662.0,7258336.31507165,53043.95980591326
p214-010-60056-cl.png,248396570.25,17460697.25,6584324.495408028,62518.627452666995
p214-010-60056-cr.png,227067317.25,16418419.0,6643867.311695306,57716.68204711117
p214-010-60056-ml.png,244121933.0,17360143.25,6547018.991944442,59671.827180832086
p214-010-60056-mr.png,259586889.5,18343457.5,6433729.032775957,58168.58243162175
p214-010-60060-cl.png,101861238.0,6556181.0,7778099.682697041,48386.97940353223
p214-010-60060-cr.png,104190309.75,6393529.75,7774456.629929691,42102.48250602395
p214-010-60060-ml.png,96900782.5,6207835.25,7823770.617744925,34185.99480892963
p214-010-60060-mr.png,94493962.25,5776993.5,7922240.7919904785,36988.59824940456
p214-010-60062-cl.png,82975703.25,9223877.0,12022198.866400894,69881.05967267236
p214-010-60062-cr.png,120531401.0,11075114.5,11978129.420560002,60354.96507005533
p214-010-60062-ml.png,68917423.5,7554155.5,12290288.460003875,47677.6088752207
p214-010-60062-mr.png,74192698.5,8468779.0,12059098.438080084,56664.43786949035
p214-010-60066-cl.png,174700643.0,12863942.5,6992785.96565152,62181.86539639802
p214-010-60066-cr.png,196568178.75,14656690.75,6748598.374691406,64499.9421362794
p214-010-60066-ml.png,145370616.75,11625171.25,6983229.016920887,46138.18774668295
p214-010-60066-mr.png,195381136.5,14925847.0,6639080.868305192,62912.87540497629
p214-010-60070-cl.png,134081616.5,10190027.25,7295860.298135448,50546.81765726593
p214-010-60070-cr.png,85999258.75,7138428.0,7539776.300909508,42724.03052534541
p214-010-60070-ml.png,171894418.0,12899056.0,7020058.491036286,52787.947371170216
p214-010-60070-mr.png,114025210.0,9698756.5,7226123.169620778,64513.42619975633
p214-010-60074-cl.png,800343668.25,49541889.0,8927085.104299726,104537.2041809542
p214-010-60074-cr.png,673907487.5,42530148.75,9487576.128490148,83165.88294107265
p214-010-60074-ml.png,638089943.75,44104724.5,8797253.185835337,115243.49791393205
p214-010-60074-mr.png,616456760.0,40751926.25,9384088.021024076,95757.99017275692
p214-010-60080-cl.png,457706286.75,29930248.5,10522721.99207031,80476.13861901776
p214-010-60080-cr.png,385734590.0,26740474.5,10713799.379962146,84482.20054886349
p214-010-60080-ml.png,301708821.0,23455126.75,10583555.95770896,98075.7907481447
p214-010-60080-mr.png,352566029.75,26266616.5,10437597.719924096,81224.79972537202
p214-010-60083-cl.png,164841328.75,12430920.0,7049071.690744891,57069.94502848707
p214-010-60083-cr.png,116140440.75,9591930.75,7292696.064424693,58017.27572441587
p214-010-60083-ml.png,120731805.25,9957559.75,7177352.525679465,52043.552878496004
p214-010-60083-mr.png,126482337.5,9685102.0,7319575.93199751,45304.096333245725
p214-010-60086-cl.png,63640795.0,7322996.75,7221453.631656516,57952.241182493686
p214-010-60086-cr.png,64001646.0,8060887.5,6995296.768364399,59736.64451164828
p214-010-60086-ml.png,65657195.0,7793465.25,7062859.765283087,71303.7814413067
p214-010-60086-mr.png,67524823.5,7771788.5,7086280.766860599,61037.584557685375
p214-010-60088-cl.png,316139787.75,21832395.75,6121820.523229398,55358.5506918435
p214-010-60088-cr.png,296189558.0,21270760.0,6117727.04891507,60628.57115695803
p214-010-60088-ml.png,273107597.5,19885753.0,6199579.03950937,74275.98820792165
p214-010-60088-mr.png,198747651.25,16967319.0,6207606.526580346,76229.4620366538
p214-010-60093-cl.png,81472804.0,8170404.75,7056337.842735153,73267.31077248574
p214-010-60093-cr.png,52698133.25,5675620.0,7356648.089258286,64161.20595434199
p214-010-60093-ml.png,86195216.25,9719866.25,6680440.240618378,80876.45350548823
p214-010-60093-mr.png,68912247.0,7701800.75,6943868.028572664,86171.13052552311
p214-010-60097-cl.png,189433431.0,13941030.0,6856613.250042225,59127.812139666494
p214-010-60097-cr.png,146049001.5,11663011.75,7000836.109153419,57592.72328393016
p214-010-60097-ml.png,211969998.25,15279532.25,6773597.446779812,61728.42188082378
p214-010-60097-mr.png,209985935.5,14948539.75,6815308.045909971,48346.77625912895
p214-010-60100-cl.png,85998184.75,10330246.0,6661805.263046824,69797.06362889765
p214-010-60100-cr.png,96874358.5,10604770.5,6719601.4919175925,70932.6894586671
p214-010-60100-ml.png,83493383.0,9539538.0,6792459.509622196,84458.18624725932
p214-010-60100-mr.png,89068650.5,9748396.75,6826461.019633977,78326.9006312048
p214-010-60105-cl.png,151602462.25,16172279.75,10922728.212678691,87905.36811524243
p214-010-60105-cr.png,252230378.75,21820654.0,10670435.714602057,93578.12533781191
p214-010-60105-ml.png,283973793.5,25851174.0,9959434.232391093,102371.77674120307
p214-010-60105-mr.png,188782231.0,19185605.5,10417929.755721554,113347.95579660413
p214-010-60106-cl.png,200189518.0,15713834.5,6425064.038314432,72530.17488052763
p214-010-60106-cr.png,196604037.25,14739605.25,6659112.478966437,80849.89831457922
p214-010-60106-ml.png,155314074.75,12986991.5,6684292.447152916,63157.8617384802
p214-010-60106-mr.png,167620921.0,13204368.25,6760269.094325015,62826.212709046275
p214-010-60109-cl.png,289759541.5,20453341.5,6265045.340771247,60506.46754921747
p214-010-60109-cr.png,244319743.25,17724223.0,6506952.456532434,69142.51426677518
p214-010-60109-ml.png,296510323.5,21665571.5,5904198.778082924,68719.62241987899
p214-010-60109-mr.png,281498214.75,20992193.5,5953840.19776384,79838.6809618561
p214-010-60112-cl.png,111936134.0,6986240.25,7707593.356964191,58414.349951296936
